"","H-soil","L-soil","C-soil","H2","L2","H1","L1","C"
"Bin_40_1",3.88345866697325,3.53980450868399,3.31562238483266,1.32066203346156,3.66850589408263,-0.201679554955993,3.89597064132431,3.91831791755411
"Bin_40_4",4.05601112492623,3.91462021678207,3.51311208801287,1.06221588583674,3.52132242002562,-0.048606438706442,3.70798108271731,3.84576780399666
"Bin_40_5",3.95668881845306,3.75491937391456,3.63368539641849,0.705152267150771,3.42125881728449,-0.696255315336147,3.67412325885626,3.79337918094581
"Bin_40_6",4.17005330405836,3.91462021678207,3.52647507644588,0.8085523699152,3.83847328464848,0.199224357070018,3.9795185570686,4.21253952548158
"Bin_41_1",-0.857686698851226,0.728995185791733,0.751229480422353,3.06143924894162,2.96074257239354,1.42769224333419,2.67542783726195,3.86280102150532
"Bin_41_2",-0.227957348043911,0.552788547518014,0.556448658502985,3.2827814982301,2.9179452894071,1.3512867926405,2.59985538494586,4.07520400420209
"Bin_42_10",4.01322826573375,3.61359200503829,3.54026383179816,0.188791315124836,1.19961376432477,0.734298397733651,2.5751333843401,2.60592341033453
"Bin_42_11",4.00348832784582,3.88358819756483,3.41884141165866,0.0971516858581452,1.2204854769356,1.49039618946996,3.43482302326637,3.81878545150959
"Bin_42_14",3.94791426522933,3.98425893714963,3.44056142086425,0.150640294434475,1.41002411851288,0.33479036755021,2.45244803529484,2.79190196862042
"Bin_42_2",4.15552282425432,3.88358819756483,3.48755709382614,0.381580499667874,0.556011747280186,0.17059917416253,2.40859777675941,2.04400397637413
"Bin_42_5",3.64256449765281,3.39174254185297,3.07738299945118,-0.516555952488626,-0.412257887412197,1.26143161607523,1.16457781030554,1.79195124472713
"Bin_43_1",3.78955305717234,3.43217169492591,3.08223567135796,2.42362386155002,0.877354153664125,2.84880610990539,0.493385188849455,0.55632071980295
"Bin_43_3",4.17005330405836,3.59779710073986,3.3881726436771,1.91918584030457,1.34310260744023,2.41805761973083,0.701552294192893,0.99251077242116
"Bin_43_4",4.01322826573375,3.18163222483259,3.17429353145949,2.24566863880644,2.24488811523469,2.45034198691362,0.666223862405394,0.624098181880861
